feature,all_cases,alter_cases,all_acc,no_change_acc,change_acc,flip_rate,prompt_rate,sig_right_flip_rate,sig_wrong_flip_rate,right_rate,delete_right_rate
word_when.csv,58,58,0.896551724137931,0.896551724137931,0.8620689655172413,0.10344827586206896,0.293,0.6666666666666666,0.3333333333333333,0.603448275862069,0.5689655172413793
word_night.csv,28,25,0.8571428571428571,0.84,0.88,0.12,0.071,1.0,0.0,0.48,0.36
word_doctor.csv,11,10,0.8181818181818182,0.8,0.8,0.0,0.000,nan,nan,0.5,0.5
word_too.csv,19,19,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.21052631578947367,0.105,1.0,0.0,0.5263157894736842,0.3157894736842105
word_favorite.csv,13,11,0.9230769230769231,0.9090909090909091,1.0,0.09090909090909091,0.077,1.0,0.0,0.6363636363636364,0.5454545454545454
word_eat.csv,71,60,0.8450704225352113,0.8333333333333334,0.8833333333333333,0.08333333333333333,0.211,0.6,0.4,0.38333333333333336,0.36666666666666664
word_good.csv,55,36,0.9636363636363636,0.9722222222222222,0.8888888888888888,0.08333333333333333,0.055,1.0,0.0,0.5833333333333334,0.5
word_be.csv,679,642,0.8777614138438881,0.8722741433021807,0.8551401869158879,0.04205607476635514,0.284,0.6666666666666666,0.3333333333333333,0.5638629283489096,0.5498442367601246
word_store.csv,19,19,0.8947368421052632,0.8947368421052632,0.9473684210526315,0.05263157894736842,0.053,1.0,0.0,0.631578947368421,0.5789473684210527
word_want.csv,64,52,0.90625,0.8846153846153846,0.8269230769230769,0.1346153846153846,0.188,0.8571428571428571,0.14285714285714285,0.3076923076923077,0.21153846153846154
word_alone.csv,15,11,1.0,1.0,0.8181818181818182,0.18181818181818182,0.133,0.5,0.5,0.18181818181818182,0.18181818181818182
word_would.csv,46,46,0.8478260869565217,0.8478260869565217,0.8260869565217391,0.06521739130434782,0.109,0.6666666666666666,0.3333333333333333,0.5,0.4782608695652174
word_ride.csv,11,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.18181818181818182,0.182,0.5,0.5,0.5454545454545454,0.5454545454545454
negation_negation.csv,369,255,0.8726287262872628,0.8745098039215686,0.8274509803921568,0.11764705882352941,0.136,0.6,0.4,0.2549019607843137,0.23137254901960785
word_eventually.csv,18,17,0.8888888888888888,0.9411764705882353,0.8235294117647058,0.11764705882352941,0.333,1.0,0.0,0.9411764705882353,0.8235294117647058
word_start.csv,37,32,0.8648648648648649,0.875,0.84375,0.09375,0.162,0.3333333333333333,0.6666666666666666,0.5,0.53125
word_stay.csv,18,15,0.8333333333333334,0.8,0.8666666666666667,0.06666666666666667,0.111,1.0,0.0,0.5333333333333333,0.4666666666666667
word_finish.csv,18,16,0.8333333333333334,0.8125,0.875,0.1875,0.056,0.6666666666666666,0.3333333333333333,0.75,0.6875
word_still.csv,15,12,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.0,0.200,nan,nan,0.6666666666666666,0.6666666666666666
word_phone.csv,15,12,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.133,1.0,0.0,0.5,0.3333333333333333
word_finally.csv,27,25,0.9259259259259259,0.92,0.84,0.16,0.111,1.0,0.0,0.96,0.8
word_save.csv,18,16,0.8888888888888888,0.875,0.75,0.125,0.167,1.0,0.0,0.875,0.75
word_girl.csv,14,9,0.9285714285714286,1.0,1.0,0.0,0.143,nan,nan,0.3333333333333333,0.3333333333333333
word_life.csv,17,16,1.0,1.0,0.9375,0.0625,0.118,1.0,0.0,0.75,0.6875
word_disappoint.csv,14,5,0.7857142857142857,0.6,0.4,0.2,0.143,1.0,0.0,0.4,0.2
word_miss.csv,13,10,0.6923076923076923,0.8,0.8,0.0,0.077,nan,nan,0.3,0.3
word_food.csv,19,16,0.9473684210526315,0.9375,1.0,0.0625,0.211,0.0,1.0,0.625,0.6875
word_drive.csv,27,25,0.8518518518518519,0.84,0.84,0.16,0.259,0.25,0.75,0.28,0.36
word_up.csv,105,93,0.9333333333333333,0.9354838709677419,0.8494623655913979,0.10752688172043011,0.162,0.9,0.1,0.5806451612903226,0.4946236559139785
word_money.csv,38,30,0.8157894736842105,0.7666666666666667,0.8333333333333334,0.13333333333333333,0.211,0.75,0.25,0.5666666666666667,0.5
word_dog.csv,40,23,0.9,0.8695652173913043,0.8260869565217391,0.043478260869565216,0.050,0.0,1.0,0.21739130434782608,0.2608695652173913
